Date,Open,High,Low,Close,Volume,Close_time,Asset_volume,Trade_number,Taker_buy_base,Taker_buy_quote
2020-08-14 19:30:00,11807.00000000,11808.00000000,11788.22000000,11806.73000000,418.31915000,2020-08-14 19:30:00,4935843.20393316,8460,201.89960600,2382313.55370314
2020-08-14 19:45:00,11806.73000000,11842.00000000,11773.14000000,11787.66000000,1044.04239400,2020-08-14 19:45:00,12335947.93081984,12556,438.37080700,5178538.91972130
2020-08-14 20:00:00,11787.65000000,11823.55000000,11778.86000000,11817.54000000,595.39657000,2020-08-14 20:00:00,7026915.70647796,10357,254.07063200,2998463.85553593
2020-08-14 20:15:00,11817.54000000,11826.98000000,11792.00000000,11804.40000000,699.76769800,2020-08-14 20:15:00,8267101.78839125,12295,286.86858700,3388973.87314828
2020-08-14 20:30:00,11804.40000000,11827.00000000,11800.18000000,11820.45000000,538.29825600,2020-08-14 20:30:00,6360866.85949609,10026,198.90156700,2350505.68880438
2020-08-14 20:45:00,11820.44000000,11833.34000000,11807.84000000,11823.24000000,489.87403300,2020-08-14 20:45:00,5791217.39669528,9334,214.05467000,2530553.17051391
2020-08-14 21:00:00,11823.24000000,11825.09000000,11793.70000000,11799.17000000,589.81017800,2020-08-14 21:00:00,6964990.17832599,10292,250.86415100,2962700.00626806
2020-08-14 21:15:00,11798.88000000,11813.43000000,11766.66000000,11807.35000000,583.27370600,2020-08-14 21:15:00,6879463.29832442,9339,303.28470000,3577749.49254211
2020-08-14 21:30:00,11807.35000000,11820.00000000,11802.16000000,11811.14000000,416.55172900,2020-08-14 21:30:00,4920170.48283736,7265,206.77028400,2442261.08443055
2020-08-14 21:45:00,11811.14000000,11817.69000000,11791.05000000,11801.94000000,429.61737500,2020-08-14 21:45:00,5071468.07905720,6528,181.80279900,2146076.09550107
2020-08-14 22:00:00,11801.94000000,11825.36000000,11801.93000000,11809.93000000,439.83527500,2020-08-14 22:00:00,5196313.22889010,7348,181.31024400,2142151.98675624
2020-08-14 22:15:00,11809.93000000,11811.33000000,11736.16000000,11780.40000000,776.31247700,2020-08-14 22:15:00,9138057.59271912,11057,316.64230800,3727121.17348571
2020-08-14 22:30:00,11780.40000000,11789.61000000,11751.17000000,11772.42000000,414.16974500,2020-08-14 22:30:00,4875020.66010479,8765,166.79099900,1963294.66897548
2020-08-14 22:45:00,11772.42000000,11772.64000000,11750.46000000,11762.04000000,311.13195300,2020-08-14 22:45:00,3659958.08966057,7150,121.91186700,1434128.01950318
2020-08-14 23:00:00,11762.04000000,11763.18000000,11714.00000000,11734.13000000,562.12619100,2020-08-14 23:00:00,6595465.16863315,11376,242.65778000,2847471.35899941
2020-08-14 23:15:00,11734.14000000,11752.00000000,11701.00000000,11751.99000000,534.15528600,2020-08-14 23:15:00,6264489.13839926,10021,267.61041600,3138640.77368421
2020-08-14 23:30:00,11752.00000000,11759.44000000,11746.58000000,11748.64000000,251.23550400,2020-08-14 23:30:00,2953125.35330596,6799,100.17253900,1177477.89992422
2020-08-14 23:45:00,11748.68000000,11780.27000000,11746.39000000,11761.80000000,310.86355000,2020-08-14 23:45:00,3658811.83925711,7138,165.88077800,1952344.87381685
2020-08-15 00:00:00,11761.80000000,11767.68000000,11722.56000000,11741.31000000,331.46776900,2020-08-15 00:00:00,3891951.52997571,7376,148.19720800,1740045.02896909
2020-08-15 00:15:00,11741.31000000,11754.63000000,11720.00000000,11751.34000000,418.43777800,2020-08-15 00:15:00,4911613.83527703,7425,203.32317500,2386548.03907927
2020-08-15 00:30:00,11751.44000000,11762.35000000,11747.14000000,11760.99000000,334.50613600,2020-08-15 00:30:00,3932595.83019109,6302,189.33377700,2225943.15135317
2020-08-15 00:45:00,11761.08000000,11798.05000000,11760.24000000,11776.72000000,602.44280600,2020-08-15 00:45:00,7094375.64391432,9628,325.53825600,3833653.44399435
2020-08-15 01:00:00,11776.72000000,11785.45000000,11752.99000000,11756.26000000,414.78043800,2020-08-15 01:00:00,4879372.88464487,7313,184.84612300,2174570.28320148
2020-08-15 01:15:00,11756.37000000,11774.44000000,11747.38000000,11772.62000000,289.55164800,2020-08-15 01:15:00,3405379.87187520,6699,152.31184400,1791381.95830533
2020-08-15 01:30:00,11772.56000000,11775.00000000,11735.51000000,11758.54000000,338.27894800,2020-08-15 01:30:00,3975804.07275994,7639,151.55976900,1781118.75572401
2020-08-15 01:45:00,11758.55000000,11765.64000000,11745.08000000,11760.54000000,198.89939200,2020-08-15 01:45:00,2337915.08738733,5027,113.20996000,1330737.34573141
2020-08-15 02:00:00,11760.55000000,11815.00000000,11759.69000000,11785.42000000,586.42567400,2020-08-15 02:00:00,6916067.97596072,10481,302.71045900,3570380.25312789
2020-08-15 02:15:00,11785.61000000,11908.00000000,11785.40000000,11908.00000000,1822.88606200,2020-08-15 02:15:00,21619767.05461362,22338,1285.05580800,15242908.59750041
2020-08-15 02:30:00,11907.99000000,11979.00000000,11889.06000000,11946.98000000,2019.38932000,2020-08-15 02:30:00,24122072.79213489,27540,1268.77765900,15157296.85501752
2020-08-15 02:45:00,11946.99000000,11980.00000000,11911.91000000,11916.96000000,1102.91295000,2020-08-15 02:45:00,13175410.41311138,16832,615.26303300,7350477.54590044
